Dataset	Method	Local	Base	Novel	HM	CM
caltech101	baseline	98.4475	96.7592	93.8974	95.3068	96.8772
caltech101	TCVP-FedAdam-a03-reg0003	98.6420	96.6236	94.5961	95.5991	97.1206
dtd	baseline	92.2685	52.0949	59.4686	55.5381	73.9033
dtd	TCVP-FedAdam-a03-reg0003	90.6481	54.8958	60.3019	57.4720	74.0600
oxford_pets	baseline	98.3303	91.6108	97.0470	94.2506	96.2904
oxford_pets	TCVP-FedAdam-a03-reg0003	97.9318	91.7331	96.9183	94.2544	96.0931
oxford_flowers	baseline	98.7310	69.1928	71.0567	70.1124	84.4217
oxford_flowers	TCVP-FedAdam-a03-reg0003	98.0015	72.3457	72.9149	72.6292	85.3153
eurosat	baseline	49.3333	49.8810	54.7128	52.1853	50.7593
eurosat	TCVP-FedAdam-a03-reg0003	48.8489	49.2143	55.2538	52.0595	50.4542
