Dataset	Method	Local	Base	Novel	HM	CM
caltech101	baseline	98.4475	96.7592	93.8974	95.3068	96.8772
caltech101	TCVP-FedAdam-a02-reg0001	98.5848	97.1982	94.6725	95.9187	97.2518
dtd	baseline	92.2685	52.0949	59.4686	55.5381	73.9033
dtd	TCVP-FedAdam-a02-reg0001	91.4815	56.0648	59.6618	57.8074	74.6444
oxford_pets	baseline	98.3303	91.6108	97.0470	94.2506	96.2904
oxford_pets	TCVP-FedAdam-a02-reg0001	98.3316	90.8825	97.0861	93.8819	96.1068
oxford_flowers	baseline	98.7310	69.1928	71.0567	70.1124	84.4217
oxford_flowers	TCVP-FedAdam-a02-reg0001	98.2765	70.5793	72.5674	71.5595	84.9180
eurosat	baseline	49.3333	49.8810	54.7128	52.1853	50.7593
eurosat	TCVP-FedAdam-a02-reg0001	49.3844	51.4143	62.0692	56.2416	52.8130
